id,name,rating,release_date,duration,description
103,Rififi,"8.1/10                    
                    29,061
                        
                                137 user
                                101 critic
                        
            

  Rate This123456789100",June 1955 (UK),1h 58min,"Four men plan a technically perfect crime, but the human element intervenes..."
104,Memories of Murder,"8.1/10                    
                    140,713
                        
                                284 user
                                161 critic
                        
            

  Rate This123456789100",13 August 2004 (UK),2h 11min,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
105,Raging Bull,"8.2/10                    
                    322,782
                        
                                615 user
                                147 critic
                        
            

  Rate This123456789100",19 February 1981 (UK),2h 9min,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
106,1917,"8.3/10                    
                    432,470
                        
                                3,097 user
                                489 critic
                        
            

  Rate This123456789100",10 January 2020 (UK),1h 59min,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
107,The Shining,"8.4/10                    
                    901,310
                        
                                1,942 user
                                372 critic
                        
            

  Rate This123456789100",5 October 1980 (UK),2h 26min,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
108,Capernaum,"8.4/10                    
                    63,633
                        
                                391 user
                                188 critic
                        
            

  Rate This123456789100",22 February 2019 (UK),2h 6min,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
109,La Haine,"8.1/10                    
                    151,030
                        
                                233 user
                                127 critic
                        
            

  Rate This123456789100",17 November 1995 (UK),1h 38min,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
110,Saving Private Ryan,"8.6/10                    
                    1,239,713
                        
                                2,667 user
                                268 critic
                        
            

  Rate This123456789100",11 September 1998 (UK),2h 49min,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
111,Alien,"8.4/10                    
                    790,088
                        
                                1,510 user
                                301 critic
                        
            

  Rate This123456789100",6 September 1979 (UK),1h 57min,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun."
112,Gangs of Wasseypur,"8.2/10                    
                    82,692
                        
                                255 user
                                114 critic
                        
            

  Rate This123456789100",22 June 2012 (India),5h 21min,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
113,Pan's Labyrinth,"8.2/10                    
                    620,073
                        
                                1,302 user
                                459 critic
                        
            

  Rate This123456789100",24 November 2006 (UK),1h 58min,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
114,Dead Poets Society,"8.1/10                    
                    427,384
                        
                                664 user
                                108 critic
                        
            

  Rate This123456789100",22 September 1989 (UK),2h 8min,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
115,Time of the Gypsies,"8.2/10                    
                    26,723
                        
                                299 user
                                32 critic
                        
            

  Rate This123456789100",30 November 1990 (UK),2h 22min,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves."
116,There Will Be Blood,"8.2/10                    
                    519,347
                        
                                1,370 user
                                344 critic
                        
            

  Rate This123456789100",15 February 2008 (UK),2h 38min,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
117,Into the Wild,"8.1/10                    
                    574,606
                        
                                991 user
                                245 critic
                        
            

  Rate This123456789100",9 November 2007 (UK),2h 28min,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
118,Mad Max: Fury Road,"8.1/10                    
                    885,159
                        
                                2,091 user
                                831 critic
                        
            

  Rate This123456789100",14 May 2015 (UK),2h,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
119,Logan,"8.1/10                    
                    650,282
                        
                                1,610 user
                                645 critic
                        
            

  Rate This123456789100",1 March 2017 (UK),2h 17min,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
120,Nausicaä of the Valley of the Wind,"8.1/10                    
                    151,576
                        
                                255 user
                                131 critic
                        
            

  Rate This123456789100",12 June 1987 (UK),1h 57min,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
121,Le Mans '66,"8.1/10                    
                    294,712
                        
                                1,431 user
                                358 critic
                        
            

  Rate This123456789100",15 November 2019 (UK),2h 32min,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
122,Gran Torino,"8.1/10                    
                    722,019
                        
                                1,023 user
                                374 critic
                        
            

  Rate This123456789100",27 February 2009 (UK),1h 56min,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
123,Raiders of the Lost Ark,"8.4/10                    
                    886,148
                        
                                971 user
                                260 critic
                        
            

  Rate This123456789100",30 July 1981 (UK),1h 55min,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
124,Jurassic Park,"8.1/10                    
                    869,959
                        
                                1,192 user
                                359 critic
                        
            

  Rate This123456789100",16 July 1993 (UK),2h 7min,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
125,Once Upon a Time in America,"8.4/10                    
                    312,554
                        
                                714 user
                                132 critic
                        
            

  Rate This123456789100",5 October 1984 (UK),3h 49min,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
126,The Invisible Guest,"8.1/10                    
                    143,173
                        
                                451 user
                                68 critic
                        
            

  Rate This123456789100",1 July 2017 (UK),1h 46min,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.
127,Das Boot,"8.3/10                    
                    232,545
                        
                                526 user
                                112 critic
                        
            

  Rate This123456789100",17 September 1981 (West Germany),2h 29min,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror."
128,The Thing,"8.1/10                    
                    372,333
                        
                                1,167 user
                                356 critic
                        
            

  Rate This123456789100",26 August 1982 (UK),1h 49min,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
129,Trainspotting,"8.1/10                    
                    636,091
                        
                                640 user
                                151 critic
                        
            

  Rate This123456789100",23 February 1996 (UK),1h 33min,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
130,Taxi Driver,"8.2/10                    
                    727,352
                        
                                1,225 user
                                296 critic
                        
            

  Rate This123456789100",19 August 1976 (UK),1h 54min,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute."
131,Leon,"8.5/10                    
                    1,038,708
                        
                                1,252 user
                                143 critic
                        
            

  Rate This123456789100",3 February 1995 (UK),1h 50min,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
132,Harakiri,"8.6/10                    
                    42,546
                        
                                263 user
                                77 critic
                        
            

  Rate This123456789100",16 September 1962 (Japan),2h 13min,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
133,The Secret in Their Eyes,"8.2/10                    
                    193,841
                        
                                318 user
                                282 critic
                        
            

  Rate This123456789100",13 August 2010 (UK),2h 9min,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
134,Rush,"8.1/10                    
                    433,941
                        
                                591 user
                                425 critic
                        
            

  Rate This123456789100",13 September 2013 (UK),2h 3min,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
135,American History X,"8.5/10                    
                    1,037,182
                        
                                1,614 user
                                126 critic
                        
            

  Rate This123456789100",26 March 1999 (UK),1h 59min,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
136,Spider-Man: Into the Spider-Verse,"8.4/10                    
                    378,460
                        
                                1,935 user
                                407 critic
                        
            

  Rate This123456789100",12 December 2018 (UK),1h 57min,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
137,Before Sunrise,"8.1/10                    
                    273,404
                        
                                533 user
                                155 critic
                        
            

  Rate This123456789100",20 April 1995 (UK),1h 41min,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
138,Fargo,"8.1/10                    
                    619,292
                        
                                1,005 user
                                233 critic
                        
            

  Rate This123456789100",31 May 1996 (UK),1h 38min,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
139,Amélie,"8.3/10                    
                    705,406
                        
                                1,517 user
                                142 critic
                        
            

  Rate This123456789100",5 October 2001 (UK),2h 2min,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
140,Ikiru,"8.3/10                    
                    68,851
                        
                                230 user
                                132 critic
                        
            

  Rate This123456789100",9 October 1952 (Japan),2h 23min,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.
141,Klaus,"8.2/10                    
                    106,185
                        
                                721 user
                                108 critic
                        
            

  Rate This123456789100",15 November 2019 (UK),1h 36min,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
142,Platoon,"8.1/10                    
                    382,179
                        
                                628 user
                                139 critic
                        
            

  Rate This123456789100",24 April 1987 (UK),2h,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
143,Spotlight,"8.1/10                    
                    421,944
                        
                                637 user
                                503 critic
                        
            

  Rate This123456789100",29 January 2016 (UK),2h 9min,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
144,High and Low,"8.4/10                    
                    34,793
                        
                                129 user
                                93 critic
                        
            

  Rate This123456789100",April 1967 (UK),2h 23min,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.
145,The 400 Blows,"8.1/10                    
                    105,737
                        
                                221 user
                                170 critic
                        
            

  Rate This123456789100",3 March 1960 (UK),1h 39min,"A young boy, left without attention, delves into a life of petty crime."
146,The Truman Show,"8.1/10                    
                    943,246
                        
                                1,216 user
                                243 critic
                        
            

  Rate This123456789100",9 October 1998 (UK),1h 43min,An insurance salesman discovers his whole life is actually a reality TV show.
147,The Silence of the Lambs,"8.6/10                    
                    1,274,708
                        
                                1,385 user
                                231 critic
                        
            

  Rate This123456789100",31 May 1991 (UK),1h 58min,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
148,Gone Girl,"8.1/10                    
                    862,873
                        
                                1,538 user
                                629 critic
                        
            

  Rate This123456789100",2 October 2014 (UK),2h 29min,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
149,Rear Window,"8.4/10                    
                    445,376
                        
                                883 user
                                173 critic
                        
            

  Rate This123456789100",15 November 1954 (UK),1h 52min,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
150,The Departed,"8.5/10                    
                    1,193,636
                        
                                2,382 user
                                294 critic
                        
            

  Rate This123456789100",6 October 2006 (UK),2h 31min,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
151,Snatch,"8.3/10                    
                    783,969
                        
                                856 user
                                159 critic
                        
            

  Rate This123456789100",1 September 2000 (UK),1h 44min,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
152,In the Mood for Love,"8.1/10                    
                    125,035
                        
                                434 user
                                5 critic
                        
            

  Rate This123456789100",27 October 2000 (UK),1h 38min,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
153,To Kill a Mockingbird,"8.2/10                    
                    294,468
                        
                                576 user
                                162 critic
                        
            

  Rate This123456789100",20 December 1962 (UK),2h 9min,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice."
154,Wild Strawberries,"8.2/10                    
                    96,829
                        
                                200 user
                                102 critic
                        
            

  Rate This123456789100",26 December 1957 (Sweden),1h 31min,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
155,Princess Mononoke,"8.4/10                    
                    344,723
                        
                                731 user
                                207 critic
                        
            

  Rate This123456789100",19 October 2001 (UK),2h 14min,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
156,Dangal,"8.4/10                    
                    157,369
                        
                                413 user
                                62 critic
                        
            

  Rate This123456789100",22 December 2016 (UK),2h 41min,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
157,Apocalypse Now,"8.4/10                    
                    608,201
                        
                                1,236 user
                                313 critic
                        
            

  Rate This123456789100",19 December 1979 (UK),2h 27min,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
158,North by Northwest,"8.3/10                    
                    300,007
                        
                                647 user
                                178 critic
                        
            

  Rate This123456789100",20 November 1959 (UK),2h 16min,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.
159,Blade Runner,"8.1/10                    
                    695,564
                        
                                1,601 user
                                266 critic
                        
            

  Rate This123456789100",9 September 1982 (UK),1h 57min,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
160,The Wolf of Wall Street,"8.2/10                    
                    1,194,650
                        
                                1,548 user
                                645 critic
                        
            

  Rate This123456789100",17 January 2014 (UK),3h,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
161,Spirited Away,"8.6/10                    
                    654,397
                        
                                1,388 user
                                195 critic
                        
            

  Rate This123456789100",12 September 2003 (UK),2h 5min,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
162,The Hunt,"8.3/10                    
                    283,234
                        
                                453 user
                                372 critic
                        
            

  Rate This123456789100",10 January 2013 (Denmark),1h 55min,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
163,It's a Wonderful Life,"8.6/10                    
                    406,971
                        
                                1,019 user
                                180 critic
                        
            

  Rate This123456789100",7 January 1947 (USA),2h 10min,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
164,Soul,"8.1/10                    
                    176,697
                        
                                1,453 user
                                292 critic
                        
            

  Rate This123456789100",25 December 2020 (UK),1h 40min,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
165,All About Eve,"8.2/10                    
                    120,899
                        
                                381 user
                                143 critic
                        
            

  Rate This123456789100",1 May 1951 (India),2h 18min,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
166,Inside Out,"8.1/10                    
                    619,062
                        
                                1,084 user
                                593 critic
                        
            

  Rate This123456789100",24 July 2015 (UK),1h 35min,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
167,Rebecca,"8.1/10                    
                    124,332
                        
                                358 user
                                208 critic
                        
            

  Rate This123456789100",4 October 1940 (UK),2h 10min,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
168,The Third Man,"8.1/10                    
                    159,157
                        
                                486 user
                                258 critic
                        
            

  Rate This123456789100",12 October 1949 (France),1h 44min,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
169,Mr. Smith Goes to Washington,"8.1/10                    
                    107,266
                        
                                306 user
                                93 critic
                        
            

  Rate This123456789100",19 October 1939 (USA),2h 9min,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down."
170,Joker,"8.4/10                    
                    947,818
                        
                                10,788 user
                                724 critic
                        
            

  Rate This123456789100",4 October 2019 (UK),2h 2min,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
171,Your Name.,"8.4/10                    
                    197,044
                        
                                741 user
                                233 critic
                        
            

  Rate This123456789100",18 November 2016 (UK),1h 46min,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
172,Die Hard,"8.2/10                    
                    794,870
                        
                                989 user
                                210 critic
                        
            

  Rate This123456789100",3 February 1989 (UK),2h 12min,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
173,Avengers: Endgame,"8.4/10                    
                    818,142
                        
                                9,023 user
                                573 critic
                        
            

  Rate This123456789100",25 April 2019 (UK),3h 1min,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
174,Wild Tales,"8.1/10                    
                    177,870
                        
                                243 user
                                314 critic
                        
            

  Rate This123456789100",27 March 2015 (UK),2h 2min,Six short stories that explore the extremities of human behavior involving people in distress.
175,Singin' in the Rain,"8.3/10                    
                    219,676
                        
                                710 user
                                158 critic
                        
            

  Rate This123456789100",11 April 1952 (USA),1h 43min,A silent film production company and cast make a difficult transition to sound.
176,Gladiator,"8.5/10                    
                    1,345,228
                        
                                2,697 user
                                217 critic
                        
            

  Rate This123456789100",12 May 2000 (UK),2h 35min,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
177,The Bandit,"8.2/10                    
                    64,311
                        
                                65 user
                                6 critic
                        
            

  Rate This123456789100",29 November 1996 (Turkey),2h 8min,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
178,Paths of Glory,"8.4/10                    
                    178,832
                        
                                445 user
                                167 critic
                        
            

  Rate This123456789100",20 December 1957 (UK),1h 28min,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
179,My Neighbour Totoro,"8.2/10                    
                    292,700
                        
                                506 user
                                138 critic
                        
            

  Rate This123456789100",17 November 1989 (UK),1h 26min,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
180,The Dark Knight Rises,"8.4/10                    
                    1,520,397
                        
                                3,167 user
                                554 critic
                        
            

  Rate This123456789100",20 July 2012 (UK),2h 44min,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
181,The Handmaiden,"8.1/10                    
                    114,690
                        
                                252 user
                                340 critic
                        
            

  Rate This123456789100",14 April 2017 (UK),2h 25min,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
182,The Seventh Seal,"8.2/10                    
                    165,650
                        
                                361 user
                                127 critic
                        
            

  Rate This123456789100",16 February 1957 (Sweden),1h 36min,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
183,Tokyo Story,"8.2/10                    
                    53,469
                        
                                178 user
                                113 critic
                        
            

  Rate This123456789100",3 November 1953 (Japan),2h 16min,"An old couple visit their children and grandchildren in the city, but receive little attention."
184,A Separation,"8.3/10                    
                    220,738
                        
                                380 user
                                381 critic
                        
            

  Rate This123456789100",29 October 2012 (India),2h 3min,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
185,Requiem for a Dream,"8.3/10                    
                    769,100
                        
                                2,190 user
                                258 critic
                        
            

  Rate This123456789100",19 January 2001 (UK),1h 42min,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
186,American Beauty,"8.3/10                    
                    1,072,264
                        
                                2,950 user
                                200 critic
                        
            

  Rate This123456789100",4 February 2000 (UK),2h 2min,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
187,Oldboy,"8.4/10                    
                    517,234
                        
                                1,049 user
                                337 critic
                        
            

  Rate This123456789100",15 October 2004 (UK),1h 41min,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
188,Dial M for Murder,"8.2/10                    
                    158,921
                        
                                365 user
                                109 critic
                        
            

  Rate This123456789100",29 May 1954 (USA),1h 45min,A former tennis player tries to arrange his wife's murder after learning of her affair.
189,Whiplash,"8.5/10                    
                    720,700
                        
                                1,301 user
                                593 critic
                        
            

  Rate This123456789100",16 January 2015 (UK),1h 46min,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
190,Cool Hand Luke,"8.1/10                    
                    162,445
                        
                                346 user
                                132 critic
                        
            

  Rate This123456789100",1 November 1967 (USA),2h 7min,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
191,The Pianist,"8.5/10                    
                    732,259
                        
                                965 user
                                158 critic
                        
            

  Rate This123456789100",24 January 2003 (UK),2h 30min,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
192,Aliens,"8.3/10                    
                    654,263
                        
                                1,358 user
                                209 critic
                        
            

  Rate This123456789100",29 August 1986 (UK),2h 17min,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
193,Howl's Moving Castle,"8.2/10                    
                    335,696
                        
                                469 user
                                246 critic
                        
            

  Rate This123456789100",23 September 2005 (UK),1h 59min,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
194,Casino,"8.2/10                    
                    467,961
                        
                                664 user
                                159 critic
                        
            

  Rate This123456789100",23 February 1996 (UK),2h 58min,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
195,Braveheart,"8.3/10                    
                    961,372
                        
                                1,299 user
                                151 critic
                        
            

  Rate This123456789100",8 September 1995 (UK),2h 58min,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
196,Parasite,"8.6/10                    
                    561,885
                        
                                2,993 user
                                569 critic
                        
            

  Rate This123456789100",7 February 2020 (UK),2h 12min,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
197,The Bridge on the River Kwai,"8.1/10                    
                    204,027
                        
                                343 user
                                101 critic
                        
            

  Rate This123456789100",11 October 1957 (UK),2h 41min,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it."
198,Network,"8.1/10                    
                    145,293
                        
                                406 user
                                185 critic
                        
            

  Rate This123456789100",20 February 1977 (UK),2h 1min,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
199,On the Waterfront,"8.1/10                    
                    142,550
                        
                                350 user
                                166 critic
                        
            

  Rate This123456789100",12 October 1954 (India),1h 48min,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
200,How to Train Your Dragon,"8.1/10                    
                    668,635
                        
                                654 user
                                193 critic
                        
            

  Rate This123456789100",31 March 2010 (UK),1h 38min,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
201,Good Will Hunting,"8.3/10                    
                    864,426
                        
                                926 user
                                166 critic
                        
            

  Rate This123456789100",6 March 1998 (UK),2h 6min,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
202,The Passion of Joan of Arc,"8.1/10                    
                    47,983
                        
                                205 user
                                140 critic
                        
            

  Rate This123456789100",6 January 1930 (UK),1h 50min,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
203,Room,"8.1/10                    
                    373,242
                        
                                723 user
                                480 critic
                        
            

  Rate This123456789100",15 January 2016 (UK),1h 58min,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
204,Andhadhun,"8.3/10                    
                    72,425
                        
                                869 user
                                34 critic
                        
            

  Rate This123456789100",5 October 2018 (UK),2h 19min,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
205,Memento,"8.4/10                    
                    1,128,697
                        
                                2,327 user
                                222 critic
                        
            

  Rate This123456789100",20 October 2000 (UK),1h 53min,A man with short-term memory loss attempts to track down his wife's murderer.
206,The Grand Budapest Hotel,"8.1/10                    
                    710,451
                        
                                915 user
                                574 critic
                        
            

  Rate This123456789100",7 March 2014 (UK),1h 39min,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
207,Sherlock Jr.,"8.2/10                    
                    42,262
                        
                                330 user
                                72 critic
                        
            

  Rate This123456789100",11 May 1924 (USA),45min,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
208,Autumn Sonata,"8.2/10                    
                    27,195
                        
                                91 user
                                74 critic
                        
            

  Rate This123456789100",8 October 1978 (Sweden),1h 32min,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist."
209,Monty Python's Life of Brian,"8.1/10                    
                    368,188
                        
                                408 user
                                114 critic
                        
            

  Rate This123456789100",8 November 1979 (UK),1h 34min,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
210,The General,"8.1/10                    
                    81,458
                        
                                306 user
                                117 critic
                        
            

  Rate This123456789100",18 April 1927 (UK),1h 7min,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines."
211,M,"8.3/10                    
                    143,968
                        
                                373 user
                                164 critic
                        
            

  Rate This123456789100",31 August 1931 (Sweden),1h 57min,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
212,Amadeus,"8.3/10                    
                    370,015
                        
                                660 user
                                119 critic
                        
            

  Rate This123456789100",17 January 1985 (UK),2h 40min,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
213,Prisoners,"8.1/10                    
                    603,697
                        
                                977 user
                                494 critic
                        
            

  Rate This123456789100",27 September 2013 (UK),2h 33min,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
