id,name,rating,release_date,duration,description
26,Seven,"8.6/10                    
                    1,450,355
                        
                                1,566 user
                                226 critic
                        
            

  Rate This123456789100",5 January 1996 (UK),2h 7min,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
27,Reservoir Dogs,"8.3/10                    
                    921,330
                        
                                1,195 user
                                194 critic
                        
            

  Rate This123456789100",15 January 1993 (UK),1h 39min,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
28,Django Unchained,"8.4/10                    
                    1,362,756
                        
                                1,619 user
                                653 critic
                        
            

  Rate This123456789100",18 January 2013 (UK),2h 45min,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
29,Downfall,"8.2/10                    
                    332,134
                        
                                647 user
                                112 critic
                        
            

  Rate This123456789100",1 April 2005 (UK),2h 36min,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
30,City Lights,"8.5/10                    
                    168,456
                        
                                301 user
                                125 critic
                        
            

  Rate This123456789100",7 March 1931 (USA),1h 27min,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
31,The Wages of Fear,"8.1/10                    
                    54,793
                        
                                171 user
                                142 critic
                        
            

  Rate This123456789100",23 September 1955 (India),2h 11min,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
32,Unforgiven,"8.2/10                    
                    376,965
                        
                                616 user
                                130 critic
                        
            

  Rate This123456789100",18 September 1992 (UK),2h 10min,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
33,Finding Nemo,"8.1/10                    
                    951,969
                        
                                999 user
                                149 critic
                        
            

  Rate This123456789100",10 October 2003 (UK),1h 40min,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
34,The Gold Rush,"8.2/10                    
                    101,474
                        
                                201 user
                                127 critic
                        
            

  Rate This123456789100",13 July 1925 (Brazil),1h 35min,A prospector goes to the Klondike in search of gold and finds it and more.
35,Metropolis,"8.3/10                    
                    160,532
                        
                                508 user
                                214 critic
                        
            

  Rate This123456789100",6 February 1927 (France),2h 33min,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
36,The Deer Hunter,"8.1/10                    
                    312,309
                        
                                1,165 user
                                145 critic
                        
            

  Rate This123456789100",28 February 1979 (UK),3h 3min,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
37,Heat,"8.2/10                    
                    579,287
                        
                                1,123 user
                                215 critic
                        
            

  Rate This123456789100",2 February 1996 (UK),2h 50min,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
38,Star Wars: Episode V - The Empire Strikes Back,"8.7/10                    
                    1,162,576
                        
                                1,282 user
                                231 critic
                        
            

  Rate This123456789100",21 May 1980 (UK),2h 4min,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
39,Avengers: Infinity War,"8.4/10                    
                    839,921
                        
                                4,312 user
                                616 critic
                        
            

  Rate This123456789100",26 April 2018 (UK),2h 29min,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
40,Up,"8.2/10                    
                    938,443
                        
                                954 user
                                420 critic
                        
            

  Rate This123456789100",9 October 2009 (UK),1h 36min,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
41,Scarface,"8.3/10                    
                    743,329
                        
                                1,090 user
                                180 critic
                        
            

  Rate This123456789100",10 February 1984 (UK),2h 50min,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
42,My Father and My Son,"8.3/10                    
                    79,255
                        
                                132 user
                                6 critic
                        
            

  Rate This123456789100",18 November 2005 (Turkey),1h 52min,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
43,Warrior,"8.2/10                    
                    437,067
                        
                                716 user
                                341 critic
                        
            

  Rate This123456789100",23 September 2011 (UK),2h 20min,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
44,Chinatown,"8.1/10                    
                    295,222
                        
                                556 user
                                156 critic
                        
            

  Rate This123456789100",9 August 1974 (UK),2h 10min,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder."
45,The Great Dictator,"8.4/10                    
                    203,817
                        
                                281 user
                                113 critic
                        
            

  Rate This123456789100",7 March 1941 (USA),2h 5min,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
46,Citizen Kane,"8.3/10                    
                    404,784
                        
                                1,511 user
                                263 critic
                        
            

  Rate This123456789100",24 January 1942 (UK),1h 59min,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'."
47,Rocky,"8.1/10                    
                    520,014
                        
                                731 user
                                188 critic
                        
            

  Rate This123456789100",7 January 1977 (UK),2h,A small-time boxer gets a supremely rare chance to fight a heavyweight champion in a bout in which he strives to go the distance for his self-respect.
48,Full Metal Jacket,"8.3/10                    
                    677,065
                        
                                877 user
                                168 critic
                        
            

  Rate This123456789100",11 September 1987 (UK),1h 56min,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
49,Judgment at Nuremberg,"8.2/10                    
                    69,717
                        
                                224 user
                                102 critic
                        
            

  Rate This123456789100",19 December 1961 (UK),2h 59min,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
50,Bicycle Thieves,"8.3/10                    
                    147,082
                        
                                320 user
                                166 critic
                        
            

  Rate This123456789100",24 November 1948 (Italy),1h 29min,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it."
51,Hachi: A Dog's Tale,"8.1/10                    
                    254,485
                        
                                509 user
                                95 critic
                        
            

  Rate This123456789100",12 March 2010 (UK),1h 33min,A college professor bonds with an abandoned dog he takes into his home.
52,Kill Bill: Vol. 1,"8.1/10                    
                    1,003,496
                        
                                2,317 user
                                341 critic
                        
            

  Rate This123456789100",17 October 2003 (UK),1h 51min,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
53,For a Few Dollars More,"8.2/10                    
                    233,537
                        
                                305 user
                                94 critic
                        
            

  Rate This123456789100",5 October 1967 (UK),2h 12min,Two bounty hunters with the same intentions team up to track down a Western outlaw.
54,Indiana Jones and the Last Crusade,"8.2/10                    
                    693,858
                        
                                598 user
                                172 critic
                        
            

  Rate This123456789100",30 June 1989 (UK),2h 7min,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers."
55,3 Idiots,"8.4/10                    
                    345,683
                        
                                704 user
                                58 critic
                        
            

  Rate This123456789100",24 December 2009 (UK),2h 50min,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
