web-scraper-order,web-scraper-start-url,name,name-href,rating,release_date,duration,description
"1613479572-1062","https://www.imdb.com/chart/top?ref_=nv_mv_250","Hacksaw Ridge","https://www.imdb.com/title/tt2119532/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_190","8.1/10                    
                    438,156
                        
                                955 user
                                473 critic
                        
            

  Rate This123456789100","26 January 2017 (UK)","2h 19min","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot."
"1613480123-1230","https://www.imdb.com/chart/top?ref_=nv_mv_250","City of God","https://www.imdb.com/title/tt0317248/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_22","8.6/10                    
                    700,902
                        
                                1,042 user
                                228 critic
                        
            

  Rate This123456789100","3 January 2003 (UK)","2h 10min","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
"1613479851-1148","https://www.imdb.com/chart/top?ref_=nv_mv_250","A Clockwork Orange","https://www.imdb.com/title/tt0066921/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_104","8.3/10                    
                    759,879
                        
                                1,613 user
                                184 critic
                        
            

  Rate This123456789100","13 January 1972 (UK)","2h 16min","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
"1613480076-1215","https://www.imdb.com/chart/top?ref_=nv_mv_250","Terminator 2: Judgment Day","https://www.imdb.com/title/tt0103064/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_37","8.5/10                    
                    997,877
                        
                                1,335 user
                                300 critic
                        
            

  Rate This123456789100","16 August 1991 (UK)","2h 17min","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
"1613480053-1208","https://www.imdb.com/chart/top?ref_=nv_mv_250","Untouchable","https://www.imdb.com/title/tt1675434/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_44","8.5/10                    
                    763,586
                        
                                671 user
                                326 critic
                        
            

  Rate This123456789100","21 September 2012 (UK)","1h 52min","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
"1613479674-1093","https://www.imdb.com/chart/top?ref_=nv_mv_250","The Elephant Man","https://www.imdb.com/title/tt0080678/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_159","8.1/10                    
                    220,785
                        
                                433 user
                                158 critic
                        
            

  Rate This123456789100","16 October 1980 (UK)","2h 4min","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
"1613479888-1160","https://www.imdb.com/chart/top?ref_=nv_mv_250","Vertigo","https://www.imdb.com/title/tt0052357/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_92","8.3/10                    
                    365,577
                        
                                909 user
                                196 critic
                        
            

  Rate This123456789100","22 May 1958 (UK)","2h 8min","A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman."
"1613479435-1020","https://www.imdb.com/chart/top?ref_=nv_mv_250","Andrei Rublev","https://www.imdb.com/title/tt0060107/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_232","8.1/10                    
                    47,256
                        
                                173 user
                                115 critic
                        
            

  Rate This123456789100","13 August 1973 (UK)","3h 25min","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
"1613480012-1195","https://www.imdb.com/chart/top?ref_=nv_mv_250","Hamilton","https://www.imdb.com/title/tt8503618/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_57","8.5/10                    
                    57,030
                        
                                579 user
                                98 critic
                        
            

  Rate This123456789100","3 July 2020 (UK)","2h 40min","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
"1613479680-1095","https://www.imdb.com/chart/top?ref_=nv_mv_250","V for Vendetta","https://www.imdb.com/title/tt0434409/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_157","8.2/10                    
                    1,035,143
                        
                                2,277 user
                                201 critic
                        
            

  Rate This123456789100","17 March 2006 (UK)","2h 12min","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman."
"1613479591-1068","https://www.imdb.com/chart/top?ref_=nv_mv_250","In the Name of the Father","https://www.imdb.com/title/tt0107207/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_184","8.1/10                    
                    157,376
                        
                                193 user
                                61 critic
                        
            

  Rate This123456789100","11 February 1994 (UK)","2h 13min","A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them."
"1613479448-1024","https://www.imdb.com/chart/top?ref_=nv_mv_250","Amores Perros","https://www.imdb.com/title/tt0245712/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_228","8.1/10                    
                    224,217
                        
                                408 user
                                165 critic
                        
            

  Rate This123456789100","18 May 2001 (UK)","2h 34min","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
"1613479750-1117","https://www.imdb.com/chart/top?ref_=nv_mv_250","Some Like It Hot","https://www.imdb.com/title/tt0053291/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_135","8.2/10                    
                    244,691
                        
                                440 user
                                229 critic
                        
            

  Rate This123456789100","19 March 1959 (USA)","2h 1min","After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
